LAT,LONG,GOBS
-21.42002,-54.42829,978581.20
-21.42765,-54.42575,978576.09
-21.43619,-54.42319,978576.09
-21.44518,-54.42062,978583.49
-21.45281,-54.41807,978586.26
-21.46045,-54.41553,978589.98
-21.46853,-54.41297,978593.07
-21.47572,-54.41044,978590.53
-21.48379,-54.40740,978589.82
-21.49100,-54.40631,978591.56
-21.38225,-54.40871,978561.82
-21.38988,-54.40617,978566.79
-21.39842,-54.40361,978572.51
-21.40558,-54.39962,978567.18
-21.41048,-54.39520,978568.49
-21.41626,-54.38979,978569.63
-21.42206,-54.38535,978570.74
-21.42784,-54.37946,978570.12
-21.43456,-54.37645,978570.54
-21.44084,-54.37393,978572.13
-21.44761,-54.37381,978574.98
-21.45351,-54.37611,978576.93
-21.45988,-54.37889,978578.03
-21.46623,-54.38119,978579.78
-21.47304,-54.38348,978581.48
-21.47895,-54.38627,978583.80
-21.48938,-54.38897,978590.08
-21.49755,-54.39220,978593.41
-21.50437,-54.39498,978593.56
-21.51118,-54.39775,978595.30
-21.50491,-54.40124,978596.44
-21.49863,-54.40376,978593.84
-21.50322,-54.40850,978596.17
-21.50379,-54.41573,978595.91
-21.49936,-54.42159,978598.07
-21.49854,-54.42691,978598.21
-21.49364,-54.43134,978595.30
-21.49012,-54.43719,978593.96
-21.40623,-54.44203,978584.59
-21.41073,-54.44099,978584.70
-21.41574,-54.44379,978586.72
-21.42123,-54.44852,978589.57
-21.42668,-54.45083,978591.04
-21.40407,-54.44833,978580.59
-21.40102,-54.45562,978576.58
-21.39840,-54.46097,978573.84
-21.39442,-54.46682,978572.73
-21.38804,-54.46307,978569.59
-21.38301,-54.45882,978567.74
-21.37617,-54.45412,978566.17
-21.37068,-54.44940,978560.93
-21.51885,-54.39761,978596.20
-21.52334,-54.39608,978595.25
-21.53053,-54.39403,978595.00
-21.53818,-54.39244,978595.48
-21.54491,-54.38991,978595.36
-21.55120,-54.38787,978595.98
-21.56243,-54.38429,978598.82
-21.57187,-54.38171,978600.87
-21.57770,-54.37967,978603.13
-21.58579,-54.37711,978603.41
-21.59296,-54.37409,978603.73
-21.60330,-54.37149,978606.19
-21.61586,-54.36595,978614.00
-21.54436,-54.38365,978594.67
-21.54199,-54.37645,978594.07
-21.53695,-54.37172,978593.54
-21.53148,-54.36796,978593.04
-21.52777,-54.36175,978592.82
-21.52027,-54.40193,978596.80
