LAT,LONG,GOBS
-26.41740,-52.65040,978832.49
-25.87580,-53.46230,978840.36
-26.41900,-52.60500,978802.75
-25.90150,-53.47020,978837.79
-26.41850,-52.55930,978811.86
-25.90660,-53.44030,978819.90
-26.41460,-52.49060,978795.77
-25.96330,-53.44170,978826.47
-25.97170,-53.39500,978808.06
-26.47210,-52.68490,978847.08
-26.47130,-52.61970,978831.00
-25.91220,-53.40930,978811.70
-25.92940,-53.38910,978808.01
-26.46980,-52.55150,978830.93
-26.47310,-52.49900,978839.20
-25.94950,-53.35020,978827.01
-26.52270,-52.68840,978867.52
-25.96890,-53.32780,978825.13
-26.51610,-52.64800,978854.85
-25.98910,-53.29040,978796.32
-26.52420,-52.60080,978845.93
-25.99910,-53.26820,978781.35
-26.52340,-52.56250,978841.50
-26.00550,-53.23910,978768.09
-26.53500,-52.50010,978833.05
-26.64030,-52.61620,978909.56
-26.63480,-52.67620,978903.66
-26.61230,-52.74080,978858.49
-26.69300,-52.50310,978874.47
-26.68040,-52.55770,978894.38
-26.68140,-52.61820,978903.28
-26.68610,-52.67330,978887.93
-26.69700,-52.74800,978894.97
-26.74560,-52.50080,978879.60
